entry_mode,stop_buffer,trail,rs_min,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
reversal,0.25,2.5,90,2226,89,0.2808988764044944,180.00801976539958,-70.06370803705344,2.5692048680923607,0.18115932318617364,1.0035956515985784,8.990997066216089e-05,-0.05390740804522476,-0.6665115365730332,-0.547924609581367,0.42695883134130147,1.1009089786745039,14,,160.32,266.1,266.34,400.49
reversal,0.25,3.0,70,2226,149,0.2751677852348993,235.39192314038164,-68.32431370549169,3.44521460039871,15.248610527265402,1.3079055427439548,0.012324193045075704,-0.07015822925967763,-0.18315160529920485,-0.21651995398468024,0.6095617529880478,1.6790968115730056,11,,266.84,403.28,404.79,287.6
reversal,0.25,3.0,75,2226,132,0.32575757575757575,236.47990532631385,-73.10112131592616,3.2349696019614025,27.74724342359143,1.562962841397082,0.01949429321137086,-0.07314936903740621,0.002829082134873077,0.0033285072075790773,0.5710491367861886,1.5333972071485704,10,,236.03,367.52,369.69,347.75
reversal,0.25,3.0,80,2226,123,0.3333333333333333,204.18476084420587,-73.56907135925354,2.7754157701288347,19.01553937523292,1.3877078850644173,0.012651855570415371,-0.05613707294012038,-0.17566075302450262,-0.1942508063731019,0.5677290836653387,1.42547135660787,9,,220.03,341.54,343.02,374.65
reversal,0.25,3.0,85,2226,111,0.2882882882882883,219.92109047723648,-73.18468382093693,3.0050152435627617,11.314278138896855,1.2172213644811185,0.006894207339004588,-0.05792403229799703,-0.3581826128714245,-0.3668788334810722,0.547144754316069,1.298767997482695,13,,199.24,312.26,313.17,369.0
reversal,0.25,3.0,90,2226,76,0.2631578947368421,270.499530795959,-76.99834547785734,3.513056405526888,14.448464067883812,1.2546630019738887,0.006033466264985687,-0.05001095892329854,-0.4187467721184827,-0.38025957643549774,0.4754316069057105,0.9347200265314953,13,,137.14,226.27,227.02,404.25
reversal,0.25,3.5,70,2226,135,0.26666666666666666,239.11602061947102,-69.55989803123579,3.437555651851247,12.753680275619372,1.2500202370368172,0.009424121462702884,-0.06504129285585292,-0.2554817639934923,-0.2964503908513848,0.6274900398406374,1.4514428596246716,11,,241.36,347.74,348.93,415.17
reversal,0.25,3.5,75,2226,123,0.3089430894308943,284.2184271939605,-78.51232997327122,3.62004830694389,33.55083077758083,1.6183745372219744,0.021842575028225397,-0.06451777095561184,0.059917426335899034,0.0694344578542299,0.5703851261620186,1.4248316800187204,9,,220.34,342.4,344.78,387.76
reversal,0.25,3.5,80,2226,114,0.3333333333333333,206.86977909873335,-79.4018596115737,2.6053518155710775,16.022019958528634,1.3026759077855388,0.009949287030198484,-0.05225745363983181,-0.23993869184437447,-0.26552359270364306,0.5790172642762285,1.301510647590944,10,,204.54,312.74,313.94,419.99
reversal,0.25,3.5,85,2226,103,0.2815533980582524,227.5239402683904,-80.08003913653067,2.8412066567609755,6.526906521165533,1.113445851973896,0.0037236682193273474,-0.05032128146848014,-0.4300738569185811,-0.42514783022445507,0.5531208499335989,1.1786837274688038,13,,185.02,283.39,283.99,462.49
