ticker,sector,entry_date,exit_date,entry_px,exit_px,shares,pnl_eur,pnl_pct,hold_days,exit_reason,regime_at_entry
URI,Industrial,2024-11-22,2024-12-10,838.9224916676284,786.1365348312597,3,-175.52333462510023,-0.07293116143068425,18,GAP_STOP,BULL_MODERATE
JPM,Fin,2024-12-12,2024-12-13,235.67194285400387,232.55851310092595,14,-39.15320037526635,-0.012455087789012257,1,TRAILING_STOP,NEUTRAL
AXP,Fin,2024-11-01,2024-12-18,269.5745411749649,284.6247307628721,6,136.7938551064492,0.09194247124335025,47,TRAILING_STOP,NEUTRAL
BLK,Fin,2024-10-29,2024-12-20,953.1057033544921,975.4541696777115,3,173.2200268106467,0.06545701599827365,52,GAP_STOP,BULL_MODERATE
NFLX,Comm,2024-12-20,2025-01-02,90.40707414072989,88.06431835598137,28,-66.42392727526658,-0.02716653838556856,13,TRAILING_STOP,NEUTRAL
AMZN,ConsDisc,2025-01-06,2025-01-10,227.06347377777098,216.65462841494804,6,-63.84904964580551,-0.04822525454249931,4,TRAILING_STOP,NEUTRAL
ISRG,Health,2025-01-06,2025-01-27,536.4950495903778,567.606748399254,2,39.5150675335849,0.03788783536469858,21,TRAILING_STOP,NEUTRAL
AMZN,ConsDisc,2025-01-16,2025-02-18,224.7005231666565,226.3551142220724,6,-18.476315082245037,-0.014088031961537942,33,TRAILING_STOP,NEUTRAL
WMT,Staples,2025-01-10,2025-02-20,91.36536316265467,97.35960468460613,18,79.81458322137837,0.049908536206348435,41,GAP_STOP,NEUTRAL
META,Comm,2025-01-06,2025-02-21,609.5817262987845,680.3739125953502,1,53.406362660547984,0.09007137050042803,46,TRAILING_STOP,NEUTRAL
TRGP,Energy,2025-02-04,2025-02-25,195.64084791028975,187.16111033949403,15,-164.7145830139616,-0.05790257761286795,21,TRAILING_STOP,BULL_MODERATE
DE,Industrial,2025-02-28,2025-03-04,472.5213657608413,439.31294296838144,1,-38.24615190831065,-0.0838982067279036,4,TRAILING_STOP,NEUTRAL
DE,Industrial,2025-03-25,2025-03-31,473.18879635178826,450.87304361218537,3,-68.40587573900484,-0.051984488474557694,6,TRAILING_STOP,NEUTRAL
WMT,Staples,2025-05-27,2025-06-12,96.61385917633685,93.53415109384446,30,-113.09210338151797,-0.044387657120690094,16,TRAILING_STOP,BULL_STRONG
MO,Staples,2025-05-19,2025-07-09,54.42391419941632,54.24667091879175,21,-53.44958977057456,-0.05223547164610074,51,TRAILING_STOP,NEUTRAL
DIS,Comm,2025-07-17,2025-08-01,118.37564341240882,115.79566484575696,31,-18.723020355526387,-0.005930653571580939,15,GAP_STOP,BULL_STRONG
INTU,Tech,2025-08-07,2025-08-08,775.7445532042271,751.2993918222344,4,-93.0951530101579,-0.03495420458583074,1,GAP_STOP,BULL_MODERATE
