,0
2019-03-01,34898.67460596502
2019-03-04,34808.31934923571
2019-03-05,34821.12742052159
2019-03-06,34621.48359285749
2019-03-07,34559.163826189266
2019-03-08,34584.83550995946
2019-03-11,34977.28017693911
2019-03-12,35205.49929200656
2019-03-13,35399.94491246158
2019-03-14,35408.43202819257
2019-03-15,35457.04757893281
2019-03-18,35334.3786976517
2019-03-19,35260.51306789309
2019-03-20,35263.47306974532
2019-03-21,35643.83685605027
2019-03-22,35457.35877634921
2019-03-25,35470.84121221974
2019-03-26,35709.207014429456
2019-03-27,35487.615146331955
2019-03-28,35477.06660443479
2019-03-29,35679.3424253715
2019-04-01,35676.13453266002
2019-04-02,35835.91088506037
2019-04-03,35901.01781869752
2019-04-04,35772.93179231014
2019-04-05,36033.66265392967
2019-04-08,35935.62875356352
2019-04-09,35871.88358127227
2019-04-10,36013.85288424606
2019-04-11,36042.10490306521
2019-04-12,36247.39205415881
2019-04-15,36168.17226736707
2019-04-16,35796.04317736219
2019-04-17,35692.92002521423
2019-04-18,35827.39098589375
2019-04-22,35713.49792978523
2019-04-23,36012.014145312714
2019-04-24,36178.39413841367
2019-04-25,36211.96093390261
2019-04-26,36265.803711238405
2019-04-29,36073.867213515674
2019-04-30,36429.93765304209
2019-05-01,36115.776947233935
2019-05-02,36009.79428407203
2019-05-03,36456.52650994714
2019-05-06,36214.24132138972
2019-05-07,35536.82142323752
2019-05-08,35497.02503484753
2019-05-09,35304.56659638523
2019-05-10,35373.4894420508
2019-05-13,34169.2377390951
2019-05-14,34592.67366713903
2019-05-15,34959.162933404754
2019-05-16,35290.80074077703
2019-05-17,34986.5056028485
2019-05-20,34504.45141858224
2019-05-21,34845.867607499065
2019-05-22,34614.43954619084
2019-05-23,34092.39476672183
2019-05-24,34104.80849581899
2019-05-28,33954.320794261046
2019-05-29,33694.18385826777
2019-05-30,33884.37232683662
2019-05-31,33368.00445073301
2019-06-03,33526.813742912134
2019-06-04,33576.47616802012
2019-06-05,34199.157225015784
2019-06-06,34409.73351307396
2019-06-07,34471.93486870192
2019-06-10,34357.50558162388
2019-06-11,34346.98228803415
2019-06-12,34556.068609769914
2019-06-13,34619.850805735136
2019-06-14,34795.68095053753
2019-06-17,34855.95801574705
2019-06-18,34711.43667279686
2019-06-19,34923.040990694826
2019-06-20,35170.4888346935
2019-06-21,35046.77017492215
2019-06-24,35021.67107244744
2019-06-25,34786.502026937465
2019-06-26,34143.33874466513
2019-06-27,34274.20463052294
2019-06-28,34347.983051486735
2019-07-01,34516.67291530898
2019-07-02,34785.208152134655
2019-07-03,35142.71469295704
2019-07-05,35069.399208582174
2019-07-08,35038.01462454402
